,Student_ID,Item_ID,Execution_date,Session_Status,Sequence_Index,Candidate_Response_Number,Reponse_ID,Task_Correct_Response,Task_Candidate_Response,Global_Score_Response,Min_score_Response,Max_score_Response,Score_Item,Max_score_Item,Min_score_Item,Feedback_basic,Feedback_modal,N_Attempts
18,student_100__2021_10_21__19_17_943.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2021-10-21T19:41:31,final,6,181,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'id2405d1ab-326f-48ca-8977-11785862939f', 'id0824fd51-b183-4a36-91d4-ea663258505f', 'id9ab8ee73-3dd6-4f54-8c80-fc719b7574d5', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']",5,0,6,"['1', '1', '1', '1', '1', '1']",[],[],incorrect,Feedback2098167963,2
19,student_100__2021_10_21__19_17_943.xml,id9ea3a865-5625-4f36-8682-653b3af80af3_1,2021-10-21T19:48:28,final,7,391,RESPONSE_1,"['idf1c89571-97ba-4574-bd86-811ff2d90ac5 id3fc9d1fe-dac0-46fc-9df5-b5ed163d752d', 'idf9186c94-2c74-4a5c-a219-c3f3bc59c48c id92be0790-d70c-4934-80ef-74bec273a16e', 'id9a4762f1-3c35-428b-9333-f1154b94545d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'ide1b22e8c-839c-47f8-8fdf-3d304e402f7d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'idf57e6d9f-3d8b-471b-a5b4-6acf03b4e43f idb3100d4a-c4ba-4bba-9fd7-15b55b020cb0', 'id2fc2d4be-65bf-40b9-95c1-74d494ade0ad id92be0790-d70c-4934-80ef-74bec273a16e']","['ide1b22e8c-839c-47f8-8fdf-3d304e402f7d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'id9a4762f1-3c35-428b-9333-f1154b94545d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'idf9186c94-2c74-4a5c-a219-c3f3bc59c48c id92be0790-d70c-4934-80ef-74bec273a16e', 'idf1c89571-97ba-4574-bd86-811ff2d90ac5 id3fc9d1fe-dac0-46fc-9df5-b5ed163d752d', 'idf57e6d9f-3d8b-471b-a5b4-6acf03b4e43f idb3100d4a-c4ba-4bba-9fd7-15b55b020cb0', 'id2fc2d4be-65bf-40b9-95c1-74d494ade0ad id92be0790-d70c-4934-80ef-74bec273a16e']",3,0,3,"['1', '1', '1', '1', '1', '1']",[],[],correct,Feedback308458987,0
20,student_100__2021_10_21__19_17_943.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2021-10-31T16:45:37,final,8,2838,RESPONSE_1,['6*a+7*b'],['6*a+7*b'],6,0,6,"['1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1']","['0', '0', '0', '0', '0', '0']",correct,Feedback1340998607,0
21,student_100__2021_10_21__19_17_943.xml,id0eeba415-3e80-4568-b795-46979d215147_1,2021-10-31T17:02:50,final,9,356,RESPONSE_1,['1'],['1'],2,0,3,"['1', '1', '0']","['1', '1', '1']","['0', '0', '0']",incorrect,Feedback1403352192,0
22,student_100__2021_10_21__19_17_943.xml,ideaa3ccba-44aa-4f79-ac9b-1137e50192d9_1,2021-10-31T17:29:05,final,10,601,RESPONSE_1,['-2'],['-2'],2,0,3,"['1', '0', '1']","['1', '1', '1']","['0', '0', '0']",incorrect,Feedback1208114725,0
23,student_100__2021_10_21__19_17_943.xml,idd5cf78d4-28a4-4213-90b4-00e5bb438536_1,2021-10-31T17:21:19,final,11,254,RESPONSE_1,['2*y'],['2*y'],1,0,4,"['1', '0', '0', '0']","['1', '1', '1', '1']","['0', '0', '0', '0']",incorrect,Feedback1638041153,0
24,student_100__2021_10_21__19_17_943.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2021-10-31T16:56:58,final,8,652,RESPONSE_1,['3*a+5*b'],['3*a+5*b'],6,0,6,"['1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1']","['0', '0', '0', '0', '0', '0']",correct,Feedback1340998607,1
25,student_100__2021_10_21__19_17_943.xml,id0eeba415-3e80-4568-b795-46979d215147_1,2021-10-31T17:13:44,final,9,638,RESPONSE_1,['1'],['1'],2,0,3,"['1', '1', '0']","['1', '1', '1']","['0', '0', '0']",incorrect,Feedback1403352192,1
26,student_100__2021_10_21__19_17_943.xml,ideaa3ccba-44aa-4f79-ac9b-1137e50192d9_1,2021-10-31T17:31:00,final,10,98,RESPONSE_1,['-3'],['-3'],2,0,3,"['1', '0', '1']","['1', '1', '1']","['0', '0', '0']",incorrect,Feedback1208114725,1
27,student_101__2021_10_18__22_50_473.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_3,2022-01-02T16:50:39,final,1,91,RESPONSE_1427178107064,['(3*x)/(9*x+1)'],['(3*x)/(9*x+1)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
28,student_101__2021_10_18__22_50_473.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_6,2022-01-02T16:52:13,final,2,86,RESPONSE_1427175435706,['sqrt(sqrt((9*x+y)/10)+3*z^3)'],['sqrt(sqrt((9*x+y)/10)+3*z^3)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
29,student_101__2021_10_18__22_50_473.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_2,2022-01-02T16:53:37,final,3,75,RESPONSE_1427175435706,['abs(abs(7x+y/18)-7)'],['abs(abs(7x+y/18)-7)'],1,0,1,['1'],['1'],['0'],correct,Feedback1735350405,0
30,student_101__2021_10_18__22_50_473.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_2,2022-01-02T16:54:47,final,3,47,RESPONSE_1427175435706,['abs(abs((6*x+y)/7)-9)'],['abs(abs((6*x+y)/7)-9)'],1,0,1,['1'],['1'],['0'],correct,Feedback1735350405,1
31,student_101__2021_10_18__22_50_473.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_4,2022-01-02T16:56:17,final,4,88,RESPONSE_1427175435706,['log(abs((8*x+y)/17)+1)'],['log(abs((8*x+y)/17)+1)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
32,student_101__2021_10_18__22_50_473.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_5,2022-01-02T16:57:34,final,5,76,RESPONSE_1427176115631,['%e^((-5*%i*%pi)/28)+48'],['%e^((-5*%i*%pi)/28)+48'],1,0,1,['1'],['1'],['0'],correct,NULL,0
33,student_101__2021_10_18__22_50_473.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2022-01-02T17:00:03,final,6,148,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['id0824fd51-b183-4a36-91d4-ea663258505f', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'ide79adfd3-8f30-4b0d-8355-2928f5c904b4', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f']",6,0,6,"['1', '1', '1', '1', '1', '1']",[],[],correct,Feedback38106772,0
34,student_101__2021_10_18__22_50_473.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2022-01-02T17:03:12,final,6,68,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['id2405d1ab-326f-48ca-8977-11785862939f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea']",6,0,6,"['0', '1', '1', '1', '1', '1']",[],[],correct,Feedback38106772,1
35,student_101__2021_10_18__22_50_473.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2022-01-02T17:03:58,final,6,40,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['id2405d1ab-326f-48ca-8977-11785862939f', 'id0824fd51-b183-4a36-91d4-ea663258505f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7']",6,0,6,"['1', '1', '1', '1', '0', '1']",[],[],correct,Feedback38106772,2
36,student_101__2021_10_18__22_50_473.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2022-01-02T17:05:05,final,6,58,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['id2405d1ab-326f-48ca-8977-11785862939f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id0824fd51-b183-4a36-91d4-ea663258505f', 'id0c404a62-e0c2-4272-8b1f-de5593d777e7', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']",6,0,6,"['1', '1', '1', '1', '0', '1']",[],[],correct,Feedback38106772,3
37,student_101__2021_10_18__22_50_473.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2022-01-02T17:06:45,final,6,44,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id0824fd51-b183-4a36-91d4-ea663258505f', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760', 'id2405d1ab-326f-48ca-8977-11785862939f', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea']",6,0,6,"['1', '1', '1', '1', '1', '1']",[],[],correct,Feedback38106772,4
38,student_101__2021_10_18__22_50_473.xml,id9ea3a865-5625-4f36-8682-653b3af80af3_1,2022-01-02T17:12:17,final,7,321,RESPONSE_1,"['idf1c89571-97ba-4574-bd86-811ff2d90ac5 id3fc9d1fe-dac0-46fc-9df5-b5ed163d752d', 'idf9186c94-2c74-4a5c-a219-c3f3bc59c48c id92be0790-d70c-4934-80ef-74bec273a16e', 'id9a4762f1-3c35-428b-9333-f1154b94545d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'ide1b22e8c-839c-47f8-8fdf-3d304e402f7d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'idf57e6d9f-3d8b-471b-a5b4-6acf03b4e43f idb3100d4a-c4ba-4bba-9fd7-15b55b020cb0', 'id2fc2d4be-65bf-40b9-95c1-74d494ade0ad id92be0790-d70c-4934-80ef-74bec273a16e']","['id2fc2d4be-65bf-40b9-95c1-74d494ade0ad id92be0790-d70c-4934-80ef-74bec273a16e', 'idf57e6d9f-3d8b-471b-a5b4-6acf03b4e43f idb3100d4a-c4ba-4bba-9fd7-15b55b020cb0', 'idf9186c94-2c74-4a5c-a219-c3f3bc59c48c id92be0790-d70c-4934-80ef-74bec273a16e', 'idf1c89571-97ba-4574-bd86-811ff2d90ac5 id3fc9d1fe-dac0-46fc-9df5-b5ed163d752d', 'ide1b22e8c-839c-47f8-8fdf-3d304e402f7d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'id9a4762f1-3c35-428b-9333-f1154b94545d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6']",3,0,3,"['1', '1', '1', '1', '1', '1']",[],[],correct,Feedback308458987,0
39,student_101__2021_10_18__22_50_473.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2022-01-03T19:25:05,final,8,2600,RESPONSE_1,['6*a-5*b'],['6*a-5*b'],5,0,6,"['0', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1']","['0', '0', '0', '0', '0', '0']",incorrect,NULL,0
40,student_101__2021_10_18__22_50_473.xml,id0eeba415-3e80-4568-b795-46979d215147_1,2021-10-18T22:54:15,final,9,183,RESPONSE_1,['1'],['1'],0,0,3,"['0', '0', '0']","['1', '1', '1']","['0', '0', '0']",empty,NULL,0
41,student_101__2021_10_18__22_50_473.xml,id0eeba415-3e80-4568-b795-46979d215147_1,2021-10-18T22:55:40,final,9,9,RESPONSE_1,['1'],['1'],0,0,3,"['0', '0', '0']","['1', '1', '1']","['0', '0', '0']",empty,NULL,1
42,student_101__2021_10_18__22_50_473.xml,id0eeba415-3e80-4568-b795-46979d215147_1,2022-01-03T19:44:13,final,9,245,RESPONSE_1,['1'],['1'],0,0,3,"['0', '0', '0']","['1', '1', '1']","['0', '0', '0']",empty,NULL,2
43,student_101__2021_10_18__22_50_473.xml,id0eeba415-3e80-4568-b795-46979d215147_1,2022-01-04T13:06:46,pendingSubmission,9,11,RESPONSE_1,['NULL'],['NULL'],0,0,3,"['0', '0', '0']","['1', '1', '1']","['0', '0', '0']",empty,NULL,3
44,student_101__2021_10_18__22_50_473.xml,ideaa3ccba-44aa-4f79-ac9b-1137e50192d9_1,2022-01-04T13:06:46,pendingSubmission,10,57,RESPONSE_1,['NULL'],['NULL'],0,0,3,"['0', '0', '0']","['1', '1', '1']","['0', '0', '0']",empty,NULL,0
45,student_101__2021_10_18__22_50_473.xml,idd5cf78d4-28a4-4213-90b4-00e5bb438536_1,2021-10-18T22:56:21,final,11,5,RESPONSE_1,['NULL'],['NULL'],0,0,4,"['0', '0', '0', '0']","['1', '1', '1', '1']","['0', '0', '0', '0']",empty,NULL,0
46,student_101__2021_10_18__22_50_473.xml,idd5cf78d4-28a4-4213-90b4-00e5bb438536_1,2022-01-04T13:06:46,pendingSubmission,11,123,RESPONSE_1,['NULL'],['NULL'],0,0,4,"['0', '0', '0', '0']","['1', '1', '1', '1']","['0', '0', '0', '0']",empty,NULL,1
47,student_101__2021_10_18__22_50_473.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2022-01-04T12:02:17,final,8,860,RESPONSE_1,['4*a-5*b'],['4*a-5*b'],5,0,6,"['0', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1']","['0', '0', '0', '0', '0', '0']",incorrect,NULL,1
48,student_101__2021_10_18__22_50_473.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2022-01-04T12:23:14,final,8,1136,RESPONSE_1,['6*a-5*b'],['6*a-5*b'],5,0,6,"['0', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1']","['0', '0', '0', '0', '0', '0']",incorrect,NULL,2
49,student_101__2021_10_18__22_50_473.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2022-01-04T12:41:45,final,8,1061,RESPONSE_1,['5*a-7*b'],['5*a-7*b'],5,0,6,"['0', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1']","['0', '0', '0', '0', '0', '0']",incorrect,NULL,3
50,student_101__2021_10_18__22_50_473.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2022-01-04T12:57:23,final,8,894,RESPONSE_1,['9*a-5*b'],['9*a-5*b'],5,0,6,"['0', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1']","['0', '0', '0', '0', '0', '0']",incorrect,NULL,4
51,student_101__2022_01_04__13_07_348.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_3,2022-01-04T21:04:03,final,1,1651,RESPONSE_1427178107064,['(9*x)/(47*x+1)'],['(9*x)/(47*x+1)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
52,student_101__2022_01_04__13_07_348.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_6,2022-01-04T21:04:46,final,2,41,RESPONSE_1427175435706,['sqrt(sqrt((9*x+y)/18)+8*z^3)'],['sqrt(sqrt((9*x+y)/18)+8*z^3)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
53,student_101__2022_01_04__13_07_348.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_2,2022-01-04T21:05:10,final,3,22,RESPONSE_1427175435706,['abs(abs((6*x+y)/16)-4)'],['abs(abs((6*x+y)/16)-4)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
54,student_101__2022_01_04__13_07_348.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_4,2022-01-04T21:05:35,final,4,23,RESPONSE_1427175435706,['log(abs((8*x+y)/4)+5)'],['log(abs((8*x+y)/4)+5)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
55,student_101__2022_01_04__13_07_348.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_5,2022-01-04T21:06:30,final,5,54,RESPONSE_1427176115631,['%e((-6*%i*%pi)/23)+1'],['%e((-6*%i*%pi)/23)+1'],1,0,1,['1'],['1'],['0'],correct,Feedback2118326121,0
56,student_101__2022_01_04__13_07_348.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_5,2022-01-04T21:07:06,final,5,29,RESPONSE_1427176115631,['%e(-7*%i*%pi/19)+23'],['%e(-7*%i*%pi/19)+23'],1,0,1,['1'],['1'],['0'],correct,Feedback2118326121,1
57,student_101__2022_01_04__13_07_348.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_5,2022-01-04T21:07:49,final,5,27,RESPONSE_1427176115631,['%e^(-6*%i*%pi/27)+9'],['%e^(-6*%i*%pi/27)+9'],1,0,1,['1'],['1'],['0'],correct,Feedback2118326121,2
58,student_101__2022_01_04__13_07_348.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2022-01-04T21:09:22,final,6,93,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['id2405d1ab-326f-48ca-8977-11785862939f', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760', 'id0c404a62-e0c2-4272-8b1f-de5593d777e7', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id0824fd51-b183-4a36-91d4-ea663258505f', 'ide79adfd3-8f30-4b0d-8355-2928f5c904b4']",6,0,6,"['1', '0', '1', '1', '0', '1']",[],[],correct,Feedback38106772,0
